MsgID.LOCAL_POSITION,28.2860000,-0.0271805,0.2817028,-0.0744197
MsgID.LOCAL_VELOCITY,28.2860000,-0.0000133,-0.0000028,0.0000026
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924802,0.0740000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,28.5360000,-0.1749264,0.2934644,-0.0961741
MsgID.LOCAL_VELOCITY,28.5360000,-0.0000037,-0.0000182,0.0000147
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924788,0.0960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924795,0.1260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,28.7860000,-0.0969290,0.2944071,-0.1268154
MsgID.LOCAL_VELOCITY,28.7860000,-0.0000195,-0.0000072,0.0000109
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,29.0360000,0.0677601,0.2643296,-0.1600838
MsgID.LOCAL_VELOCITY,29.0360000,-0.0000102,-0.0000292,0.0000161
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924810,0.1600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,29.2860000,-0.1485250,0.1484992,-0.1933915
MsgID.LOCAL_VELOCITY,29.2860000,0.0000256,-0.0000175,0.0000152
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924791,0.1930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,29.5360000,-0.1687692,0.1073705,-0.2176175
MsgID.LOCAL_VELOCITY,29.5360000,-0.0000022,0.0000207,0.0000111
MsgID.GLOBAL_POSITION,0.0000000,-122.3974521,37.7924789,0.2170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,29.7860000,-0.0145835,0.1691518,-0.2325893
MsgID.LOCAL_VELOCITY,29.7860000,0.0000029,-0.0000108,0.0000111
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924803,0.2320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,30.0360000,0.1277134,0.1842541,-0.2341301
MsgID.LOCAL_VELOCITY,30.0360000,0.0000165,-0.0000258,0.0000126
MsgID.GLOBAL_POSITION,0.0000000,-122.3974512,37.7924816,0.2340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30.2860000,0.0402495,0.4094984,-0.2226776
MsgID.LOCAL_VELOCITY,30.2860000,-0.0000074,-0.0000244,0.0000142
MsgID.GLOBAL_POSITION,0.0000000,-122.3974487,37.7924808,0.2220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924805,0.2010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30.5370000,0.0072019,0.3148969,-0.2018744
MsgID.LOCAL_VELOCITY,30.5370000,0.0000203,-0.0000050,0.0000218
MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924801,0.1720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30.7870000,-0.0327481,0.3730984,-0.1726034
MsgID.LOCAL_VELOCITY,30.7870000,-0.0000083,-0.0000208,0.0000136
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,31.0370000,-0.1857332,0.3842965,-0.1439133
MsgID.LOCAL_VELOCITY,31.0370000,0.0000263,-0.0000241,0.0000198
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924787,0.1430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,31.2870000,-0.1319636,0.2812052,-0.1166912
MsgID.LOCAL_VELOCITY,31.2870000,0.0000000,-0.0000073,0.0000169
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924792,0.1160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,31.5370000,-0.0523771,0.3002847,-0.0979797
MsgID.LOCAL_VELOCITY,31.5370000,-0.0000074,0.0000013,0.0000138
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924799,0.0970000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,31.7870000,-0.0514901,0.1222270,-0.0870691
MsgID.LOCAL_VELOCITY,31.7870000,-0.0000012,-0.0000092,0.0000161
MsgID.GLOBAL_POSITION,0.0000000,-122.3974519,37.7924800,0.0870000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
